Designator,Mid X,Mid Y,Rotation,Layer
R3_12,168.0,-116.0,180.0,top
R3_11,111.0,-163.0,180.0,top
R3_10,168.0,-22.0,180.0,top
R3_9,54.0,-163.0,180.0,top
R3_8,111.0,-116.0,180.0,top
R3_7,168.0,-69.0,180.0,top
R3_6,54.0,-22.0,180.0,top
R3_5,54.0,-116.0,180.0,top
R3_4,111.0,-22.0,180.0,top
R3_3,54.0,-69.0,180.0,top
R3_2,168.0,-163.0,180.0,top
R3,111.0,-69.0,180.0,top
R4_12,45.5,-19.425,270.0,top
R4_11,45.5,-66.425,270.0,top
R4_10,159.5,-19.425,270.0,top
R4_9,102.5,-113.425,270.0,top
R4_8,159.5,-160.425,270.0,top
R4_7,45.5,-160.425,270.0,top
R4_6,102.5,-19.425,270.0,top
R4_5,102.5,-66.425,270.0,top
R4_4,45.5,-113.425,270.0,top
R4_3,159.5,-66.425,270.0,top
R4_2,159.5,-113.425,270.0,top
R4,102.5,-160.425,270.0,top
R5_12,111.0,-17.0,180.0,top
R5_11,54.0,-111.0,180.0,top
R5_10,111.0,-64.0,180.0,top
R5_9,168.0,-64.0,180.0,top
R5_8,54.0,-158.0,180.0,top
R5_7,54.0,-17.0,180.0,top
R5_6,168.0,-158.0,180.0,top
R5_5,54.0,-64.0,180.0,top
R5_4,111.0,-111.0,180.0,top
R5_3,168.0,-17.0,180.0,top
R5_2,111.0,-158.0,180.0,top
R5,168.0,-111.0,180.0,top
R6_12,159.5,-170.425,270.0,top
R6_11,159.5,-76.425,270.0,top
R6_10,45.5,-29.425,270.0,top
R6_9,159.5,-29.425,270.0,top
R6_8,45.5,-123.425,270.0,top
R6_7,45.5,-76.425,270.0,top
R6_6,102.5,-76.425,270.0,top
R6_5,45.5,-170.425,270.0,top
R6_4,102.5,-29.425,270.0,top
R6_3,102.5,-170.425,270.0,top
R6_2,102.5,-123.425,270.0,top
R6,159.5,-123.425,270.0,top
R7_12,37.5,-73.825,90.0,top
R7_11,151.5,-26.825,90.0,top
R7_10,151.5,-73.825,90.0,top
R7_9,37.5,-167.825,90.0,top
R7_8,151.5,-120.825,90.0,top
R7_7,37.5,-26.825,90.0,top
R7_6,37.5,-120.825,90.0,top
R7_5,94.5,-120.825,90.0,top
R7_4,94.5,-73.825,90.0,top
R7_3,94.5,-167.825,90.0,top
R7_2,151.5,-167.825,90.0,top
R7,94.5,-26.825,90.0,top
R8_12,37.5,-21.825,90.0,top
R8_11,94.5,-68.825,90.0,top
R8_10,151.5,-115.825,90.0,top
R8_9,151.5,-68.825,90.0,top
R8_8,151.5,-162.825,90.0,top
R8_7,94.5,-21.825,90.0,top
R8_6,94.5,-115.825,90.0,top
R8_5,37.5,-68.825,90.0,top
R8_4,94.5,-162.825,90.0,top
R8_3,37.5,-115.825,90.0,top
R8_2,37.5,-162.825,90.0,top
R8,151.5,-21.825,90.0,top
R9_12,37.5,-63.825,90.0,top
R9_11,94.5,-63.825,90.0,top
R9_10,151.5,-157.825,90.0,top
R9_9,37.5,-16.825,90.0,top
R9_8,37.5,-110.825,90.0,top
R9_7,94.5,-16.825,90.0,top
